id,comment
427,: 尚DANCE舞曲比較多
428,: 並沒有這首才想攻歐美市場 迷一的FEARL
429,: ESS跟美人魚就不太是流行曲風
430,: LESSERAFIM音樂性定位本來就不同
431,: 今天有兩個熱門女團出新歌  到底誰音源
432,: 強呢  期待
433,: 不過疑慮是這種風格在音源上可能在韓
434,: 國自己國內難打大勢IVE IVE的三連拳全
435,: 部都抓住韓國人的喜好
436,: 不差，洗腦，但是有點吵～熱度應該是
437,: 不錯，上一首相較下比較耐聽
438,: 看得出Hybe和Source的野心，難怪當初會
439,: 那麼殘忍放生GFRIEND
440,: 我蠻愛聽西語歌但用韓文唱西語歌的
441,: 感覺不太搭
442,: 就像中文詞翻唱英語歌也不搭是一樣意思
443,: rap唱法不喜歡，但整體還可以啦
444,: 同覺得最讚的部分是每個人都有副歌
445,: 而且分配結果相對很平均 雖然采源唱最多
446,: 但同是主唱的允真有兩次副歌 美中不足的
447,: 是前半部采源唱到20幾秒的時候櫻花整個
448,: 神隱還只有4秒..
449,: 畫面很美 歌保留
450,: 昨晚沒用耳機聽覺得微妙，戴上耳機聽
451,: 感差蠻多的
452,:  12小時播放400萬左右 歐美翻車了吧..
453,: 樓上真的很努力XD
454,: abc真的不知道跟LS有什麼仇 每篇必嘴
455,: 還是喜歡出道曲…
456,: 好難聽 今年最難聽女團歌了吧
457,: 好上癮的歌
458,: 不喜歡
459,: 我昨天才聽三次就被洗腦…怎麼上班XD
460,: 現在女團流行唸歌嗎
461,: 請問大家一直西語是指西班牙語還是
462,: ？
463,: 忙內一開頭有Q到～好可愛的妹妹～～
464,: abc就dickman阿XD不知道啥時轉黑了XD
465,: 很好聽，起飛。
466,: 這首超洗腦！目前女團最喜歡的歌
467,: 歌很奇妙 不過意外耐聽, MV拍的好帥
468,: 喜歡
469,: 西班牙語呀
470,: 看採訪說是這首主打和出道曲在出道前就訂
471,: 好了，這樣看來第三次回歸也是洗腦曲囉XD
472,: 對喔，西班牙語
473,: 整首歌好滿～～～
474,: 這就Reggaeton曲風,歐美蠻流行的
475,: 我比較重旋律 這首比較get不到
476,: 覺得很好聽欸 期待舞台
477,: 循環一早上，比較喜歡拿掉Antititi的主歌
478,: 跳到一半突然抬腳有點好笑XD MV我還滿喜
479,: 歡耶大家都好美~
480,: 一葉的芭蕾動作剛好有配合歌詞 我覺得還
481,: 可以呀
482,: 西語reference可以去聽Rosalia的sao
483,: ko
484,: 歌詞那句就是在描述kazuha出道的心路歷
485,: 程,都提到舞鞋搭配動作畫面到底有問題在
486,: 哪？
